Method,Validity,Total CFs,Avg CFs / valid sample,Avg Sparsity,Avg Proximity,Avg Diversity,Plausibility
Random,1.0,300,5.0,2.9266666666666667,16.456666666666667,19.173333333333332,synthesized
KDTree,1.0,300,5.0,11.223333333333333,18.563333333333333,17.400000000000002,real training rows
Genetic,1.0,299,4.983333333333333,9.535117056856187,23.347826086956523,22.704444444444444,synthesized
