,K6_total_old,PHQ9_total_old,GAD7_total_old,SSS8_total_old,PTGI-X(Q7_22_27)_old,SHS_total_old,UCLA_total_old,LSNS6_total_old,AUDIT_old,K6_total_new,PHQ9_total_new,GAD7_total_new,SSS8_total_new,PTGI-X(Q7_22_27)_new,SHS_total_new,UCLA_total_new,LSNS6_total_new,AUDIT_new,K6_total_diff,PHQ9_total_diff,GAD7_total_diff,SSS8_total_diff,PTGI-X(Q7_22_27)_diff,SHS_total_diff,UCLA_total_diff,LSNS6_total_diff,AUDIT_diff
Max,24.0,27.0,21.0,32.0,36.0,7.0,40.0,30.0,35.0,24.0,27.0,21.0,32.0,36.0,7.0,40.0,30.0,38.0,24.0,27.0,21.0,32.0,28.0,6.0,18.0,23.0,26.0
Min,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,-24.0,-27.0,-21.0,-25.0,-36.0,-4.25,-21.0,-24.0,-31.0
Mean,3.684467845054532,3.5475742760436253,2.570891312523505,4.853328318916886,12.148552087250847,4.421022940955246,23.89093644227153,9.208725084618278,4.395637457690861,3.510342233922527,3.3899962391876644,2.2997367431365174,4.696878525761565,11.510718315156074,4.495204964272283,23.46446032342986,8.98081985708913,4.117337344866491,-0.1741256111320045,-0.1575780368559609,-0.27115456938698757,-0.15644979315532154,-0.6378337720947724,0.07418202331703648,-0.4264761188416698,-0.2279052275291463,-0.27830011282437006
Median,1.0,1.0,1.0,3.0,14.0,4.5,24.0,9.0,3.0,1.0,1.0,0.0,3.0,13.0,4.5,24.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mode,0.0,0.0,0.0,0.0,18.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Range,24.0,27.0,21.0,32.0,36.0,6.0,30.0,30.0,35.0,24.0,27.0,21.0,32.0,36.0,6.0,30.0,30.0,38.0,48.0,54.0,42.0,57.0,64.0,10.25,39.0,47.0,57.0
Standard Deviation,5.319239343565179,5.349441855166324,4.212801935270669,5.350217749215924,8.264766567357968,1.1439456584673058,6.0221053656891685,6.1245278246782835,5.752344024283102,5.294504497476827,5.453703289608986,4.059661803186655,5.380750606089946,8.563542083759685,1.1543137863105282,5.988306623362868,6.241865189441162,5.497362071696683,4.429719549865566,4.639403924479509,3.251873197250771,4.295119322527694,8.547750924659958,0.8117726462240018,3.927502153819848,4.750426278132506,4.396372141289527
Variance,28.294307194131708,28.616528161805327,17.747700145820293,28.624829964025103,68.30636641291802,1.3086116695261976,36.265753035462275,37.50984107525851,33.08946177370551,28.031777873802348,29.742879571091873,16.480853956252723,28.952477084937325,73.33425302032319,1.3324403172665478,35.85981621541159,38.96088104315735,30.22098974732925,19.622415290461195,21.524068774475865,10.57467929099795,18.448049994750754,73.06404587002517,0.6589748291575184,15.425273168259546,22.566549823971858,19.328088004706665
